Time,Standing Repo Facility Minimum Bid Rate
2021-07-29,0.25
2021-07-30,0.25
2021-08-02,0.25
2021-08-03,0.25
2021-08-04,0.25
2021-08-05,0.25
2021-08-06,0.25
2021-08-09,0.25
2021-08-10,0.25
2021-08-11,0.25
2021-08-12,0.25
2021-08-13,0.25
2021-08-16,0.25
2021-08-17,0.25
2021-08-18,0.25
2021-08-19,0.25
2021-08-20,0.25
2021-08-23,0.25
2021-08-24,0.25
2021-08-25,0.25
2021-08-26,0.25
2021-08-27,0.25
2021-08-30,0.25
2021-08-31,0.25
2021-09-01,0.25
2021-09-02,0.25
2021-09-03,0.25
2021-09-06,
2021-09-07,0.25
2021-09-08,0.25
2021-09-09,0.25
2021-09-10,0.25
2021-09-13,0.25
2021-09-14,0.25
2021-09-15,0.25
2021-09-16,0.25
2021-09-17,0.25
2021-09-20,0.25
2021-09-21,0.25
2021-09-22,0.25
2021-09-23,0.25
2021-09-24,0.25
2021-09-27,0.25
2021-09-28,0.25
2021-09-29,0.25
2021-09-30,0.25
2021-10-01,0.25
2021-10-04,0.25
2021-10-05,0.25
2021-10-06,0.25
2021-10-07,0.25
2021-10-08,0.25
2021-10-11,
2021-10-12,0.25
2021-10-13,0.25
2021-10-14,0.25
2021-10-15,0.25
2021-10-18,0.25
2021-10-19,0.25
2021-10-20,0.25
2021-10-21,0.25
2021-10-22,0.25
2021-10-25,0.25
2021-10-26,0.25
2021-10-27,0.25
2021-10-28,0.25
2021-10-29,0.25
2021-11-01,0.25
2021-11-02,0.25
2021-11-03,0.25
2021-11-04,0.25
2021-11-05,0.25
2021-11-08,0.25
2021-11-09,0.25
2021-11-10,0.25
2021-11-11,
2021-11-12,0.25
2021-11-15,0.25
2021-11-16,0.25
2021-11-17,0.25
2021-11-18,0.25
2021-11-19,0.25
2021-11-22,0.25
2021-11-23,0.25
2021-11-24,0.25
2021-11-25,
2021-11-26,0.25
2021-11-29,0.25
2021-11-30,0.25
2021-12-01,0.25
2021-12-02,0.25
2021-12-03,0.25
2021-12-06,0.25
2021-12-07,0.25
2021-12-08,0.25
2021-12-09,0.25
2021-12-10,0.25
2021-12-13,0.25
2021-12-14,0.25
2021-12-15,0.25
2021-12-16,0.25
2021-12-17,0.25
2021-12-20,0.25
2021-12-21,0.25
2021-12-22,0.25
2021-12-23,0.25
2021-12-24,0.25
2021-12-27,0.25
2021-12-28,0.25
2021-12-29,0.25
2021-12-30,0.25
2021-12-31,0.25
2022-01-03,0.25
2022-01-04,0.25
2022-01-05,0.25
2022-01-06,0.25
2022-01-07,0.25
2022-01-10,0.25
2022-01-11,0.25
2022-01-12,0.25
2022-01-13,0.25
2022-01-14,0.25
2022-01-17,
2022-01-18,0.25
2022-01-19,0.25
2022-01-20,0.25
2022-01-21,0.25
2022-01-24,0.25
2022-01-25,0.25
2022-01-26,0.25
2022-01-27,0.25
2022-01-28,0.25
2022-01-31,0.25
2022-02-01,0.25
2022-02-02,0.25
2022-02-03,0.25
2022-02-04,0.25
2022-02-07,0.25
2022-02-08,0.25
